qtd,time_on,time_off,q264,q464,q750,q1264,q1864,q2564,withtoff,is_pc,is_mob
0,0.083399,0,0.1049,0.046,0.1662,0.1995,0.202,0.2813,0,0,1
0,0.030878,0,0.8288,0.0342,0.0342,0.0616,0.0205,0.0205,0,1,0
0,0.013852,0,0.039,0,0.026,0,0.039,0.8961,0,0,1
0,0.077195,0,0.6802,0.1076,0.1483,0.0407,0.0145,0.0087,0,1,0
0,0.066806,0,0.0789,0.2669,0.2744,0.0714,0.3008,0.0075,0,1,0
0.026316,0.26102,0.009246,0.0325,0.022,0.022,0.0232,0.0203,0.88,1,1,0
0,0.005267,0,1,0,0,0,0,0,0,0,1
0.052632,0.090398,0.040623,0.5259,0.2306,0.2155,0.0279,0,0,1,1,0
0,0.088305,0,0.0704,0.0704,0.068,0.0655,0.1262,0.5995,0,1,0
0,0.001731,0,0.2727,0.0909,0.0909,0.5455,0,0,0,1,0
0,0.038165,0,0.8163,0.1633,0.0204,0,0,0,0,1,0
0.026316,0.097468,0.189065,0.7674,0.2085,0.0241,0,0,0,1,1,0
0,0.025251,0,0.0397,0.0265,0.2252,0.2252,0.2649,0.2185,0,0,1
0,0.544189,0,0.0087,0.0087,0.0083,0.0083,0.0087,0.9571,0,1,0
0,0.162254,0,0.0252,0,0,0,0,0.9748,0,0,1
0,0.150061,0,0.01,0.01,0.0157,0.9644,0,0,0,0,1
0.052632,0.041074,0.059697,0.0458,0.0352,0.0282,0.0299,0.0229,0.838,1,1,0
0,0.006854,0,0.2059,0.2353,0.5,0.0588,0,0,0,1,0
0,0.004401,0,0.1818,0.2727,0.2273,0.1364,0.0455,0.1364,0,1,0
0.078947,0.017225,0.053339,0.0959,0.8044,0.0664,0.0037,0,0.0295,1,0,1
0,0.100714,0,0.0064,0.0043,0.4883,0.5011,0,0,0,1,0
0.052632,0.150999,0.009719,0.0141,0.0029,0.0034,0.3437,0,0.6359,1,0,1
0,0.085059,0,0.2439,0.2412,0.2629,0.187,0.065,0,0,1,0
0,0.032104,0,0.0066,0,0,0.0132,0.0197,0.9605,0,0,1
0,0.386336,0,0.147,0.0089,0.0089,0.0089,0.4388,0.3874,0,1,0
0,0.001731,0,0.0833,0.0833,0.0833,0.75,0,0,0,1,0
0,0.459202,0,0.0629,0.0095,0.0099,0.0099,0.0118,0.8959,0,1,0
0,0.207633,0,0.0122,0.0487,0.0852,0.2533,0.2566,0.344,0,1,0
0,0.447226,0,0.0034,0.0029,0.0029,0.0029,0.0034,0.9845,0,1,0
0,0.00303,0,1,0,0,0,0,0,0,1,0
0,0.001876,0,0.1,0.1,0.1,0.1,0.2,0.4,0,1,0
0.026316,0.220944,0.072073,0.07,0.0204,0.0199,0.0199,0.0204,0.8493,1,1,0
0,0.001587,0,0.25,0.0833,0.0833,0.0833,0.0833,0.4167,0,1,0
0,0.004762,0,1,0,0,0,0,0,0,1,0
0.052632,0.030565,0.056203,0.4233,0.0465,0.0465,0.0465,0.0744,0.3628,1,1,0
0,0.294351,0,0.0718,0.0526,0.0526,0.1118,0.2717,0.4397,0,1,0
0,0.001515,0,1,0,0,0,0,0,0,1,0
0.026316,0.076221,0.025772,0.7367,0.1333,0.095,0.035,0,0,1,1,0
0,0.073443,0,0.0028,0.0057,0.0085,0.0142,0.1932,0.7756,0,0,1
0,0.005411,0,0.2903,0.129,0.1613,0.4194,0,0,0,1,0
0.052632,0.05103,0.021404,0.7286,0.0098,0.0098,0.0098,0.0113,0.2307,1,1,0
0,0.001731,0,0.4545,0.0909,0.0909,0.0909,0.0909,0.1818,0,1,0
0.052632,0.142943,0.015579,0.0151,0.0141,0.0166,0.0136,0.0146,0.9259,1,1,0
0.026316,0.017243,0.25051,0.0432,0.0324,0.0486,0.027,0.027,0.8216,1,1,0
0,0.019191,0,0.9688,0.0313,0,0,0,0,0,1,0
0,0.031816,0,0.0309,0.6804,0.2887,0,0,0,0,0,1
0,0.002164,0,0.0714,0.0714,0.0714,0.0714,0.0714,0.6429,0,1,0
0,0.006998,0,0.125,0.75,0.0938,0.0313,0,0,0,1,0
0.026316,0.120265,0.014051,0.0081,0.0081,0.0081,0.009,0.0081,0.9587,1,1,0
0,0.018686,0,0.2697,0.1685,0.5618,0,0,0,0,0,1
0.026316,0.077808,0.068433,0.0992,0.0335,0.0335,0.0335,0.0335,0.7668,1,1,0
0.052632,0.008874,0.183205,0.1811,0.0472,0.0315,0.7402,0,0,1,1,0
0,0.226607,0,0.1623,0.1548,0.151,0.5319,0,0,0,1,0
0.052632,0.047111,0.141672,0,0.0591,0.1965,0.36,0.1026,0.2817,1,0,1
0,0.022365,0,0.0202,0.0202,0.0202,0.9394,0,0,0,1,0
0,0.006349,0,0.8182,0.1818,0,0,0,0,0,1,0
0.026316,0.136606,0.142691,0.7253,0.22,0.0504,0.0043,0,0,1,1,0
0.026316,0.037191,0.025044,0.6733,0.0569,0.0297,0.0198,0.0124,0.2079,1,1,0
0.078947,0.008116,0.105853,0.0245,0.0245,0.0245,0.9264,0,0,1,1,0
0.026316,0.018541,0.048559,0.5674,0.4326,0,0,0,0,1,1,0
0,0.000433,0,0.4,0.2,0.2,0.2,0,0,0,1,0
0,0.002164,0,1,0,0,0,0,0,0,0,1
0.026316,0.005555,0.017909,0.2344,0.0781,0.0781,0.0781,0.0781,0.4531,1,1,0
0.026316,0.23815,0.040623,0.2941,0.0813,0.0726,0.0551,0.0676,0.4292,1,1,0
0,0.057932,0,0.9419,0.0581,0,0,0,0,0,1,0
0,0.019912,0,0.5579,0.0211,0.0105,0.0105,0.0105,0.3895,0,1,0
0,0.007575,0,1,0,0,0,0,0,0,1,0
0,0.006782,0,0.4667,0.2333,0.2333,0.0667,0,0,0,1,0
0,0.023519,0,0.0583,0.0194,0.2621,0.6602,0,0,0,0,1
0.052632,0.078373,0.099702,0.1718,0.0136,0.0127,0.8018,0,0,1,1,0
0,0.001443,0,0.1111,0,0.1111,0,0.1111,0.6667,0,1,0
0,0.284972,0,0.9441,0.0352,0.0207,0,0,0,0,1,0
0,0.004906,0,0.037,0.037,0.037,0.037,0.037,0.8148,0,1,0
0,0.01414,0,0.9783,0.0217,0,0,0,0,0,1,0
0.052632,0.155641,0.01365,0.0163,0.0688,0.7738,0.0741,0.0659,0.0012,1,1,0
0,0.253878,0,0.0017,0.0418,0.1202,0.1014,0.1032,0.6317,0,1,0
0,0.013635,0,0.6515,0.0606,0.0455,0.2424,0,0,0,1,0
0.026316,0.046064,0.057295,0.1078,0.0752,0.1003,0.0627,0.0677,0.5865,1,1,0
0.026316,0.09974,0.151791,0.0073,0,0.0063,0.0063,0.0105,0.9696,1,0,1
0,0.013635,0,0.0308,0.0154,0.0154,0.0154,0.0154,0.9077,0,1,0
0.078947,0.067528,0.039022,0.0402,0.0892,0.455,0.4156,0,0,1,0,1
0.105263,0.015136,0.090802,0.5136,0.2455,0.1773,0.0545,0.0091,0,1,1,0
0,0.002597,0,0.2143,0.1429,0.0714,0.1429,0.3571,0.0714,0,1,0
0.052632,0.047784,0.07575,0.8143,0.1776,0.0082,0,0,0,1,1,0
0,0.004689,0,0.0857,0.0857,0.4857,0.1429,0.1143,0.0857,0,1,0
0,0.176827,0,0.0025,0.0432,0.0753,0.1185,0.2617,0.4988,0,1,0
0,0.081307,0,0.0053,0.0026,0.0026,0.9894,0,0,0,1,0
0.026316,0.006746,0.013031,0.2985,0.0299,0.0299,0.0299,0.0299,0.5821,1,1,0
0,0.044802,0,0.1095,0.1048,0.1905,0.5619,0.0333,0,0,1,0
0,0.302359,0,0.9487,0.0513,0,0,0,0,0,1,0
0,0.006998,0,0.0278,0,0,0.0278,0,0.9444,0,0,1
0.026316,0.02673,0.066686,0.3169,0.1317,0.1564,0.3951,0,0,1,1,0
0,0.055479,0,0.022,0.022,0.022,0.022,0.022,0.8899,0,1,0
0,0.013203,0,0.1094,0.1094,0.1094,0.2188,0.2656,0.1875,0,1,0
0,0.455956,0,0.0085,0.008,0.008,0.009,0.3234,0.643,0,1,0
0.026316,0.030301,0.011139,0.0242,0.0104,0.4533,0.5121,0,0,1,0,1
0,0.046533,0,0.1005,0.0529,0.746,0.1005,0,0,0,0,1
0,0.004689,0,0.1739,0.2174,0.3478,0.2609,0,0,0,1,0
0,0.030734,0,0.1063,0.0188,0.0688,0.3375,0.375,0.0938,0,0,1
0.052632,0.057043,0.026427,1,0,0,0,0,0,1,1,0
0.052632,0.060241,0.049651,0.2531,0.098,0.098,0.0943,0.2655,0.1911,1,1,0
0,0.01111,0,0.0938,0.125,0.0938,0.2188,0.2188,0.25,0,1,0
0,0.004834,0,0.2083,0.1667,0.1667,0.4583,0,0,0,1,0
0,0.010605,0,0.78,0.22,0,0,0,0,0,1,0
0,0.096025,0,0.0917,0.0917,0.0917,0.0917,0.0896,0.5438,0,1,0
0,0.002164,0,0,1,0,0,0,0,0,1,0
0,0.036577,0,0.0351,0.0351,0.0351,0.0351,0.0351,0.8246,0,1,0
0.026316,0.012914,0.371214,0.2162,0,0.7838,0,0,0,1,0,1
0,0.006926,0,0.0784,0.0588,0.0784,0.2353,0.4314,0.1176,0,0,1
0.052632,0.051848,0.040259,0.6305,0.0564,0.0508,0.048,0.0494,0.165,1,1,0
0,0.01277,0,0.0781,0.0625,0.3125,0.5469,0,0,0,1,0
0,0.004401,0,0.0435,0.0435,0.0435,0.0435,0.087,0.7391,0,1,0
0,0.02893,0,0,0,0,1,0,0,0,0,1
0,0.364404,0,0.0148,0.0148,0.0154,0.0148,0.0148,0.9253,0,1,0
0,0.153669,0,0.753,0.0394,0.0439,0.0424,0.0409,0.0803,0,1,0
0,0.0101,0,0.5294,0.0588,0.0588,0.0588,0.0784,0.2157,0,1,0
0,0.007503,0,0.2368,0.1842,0.1579,0.1579,0.1579,0.1053,0,1,0
0,0.002092,0,0.3333,0.25,0.1667,0.1667,0.0833,0,0,1,0
0,0.002453,0,0.1429,0.0714,0.0714,0.0714,0.0714,0.5714,0,1,0
0.026316,0.077448,0.013541,0.0548,0.9011,0.0441,0,0,0,1,0,1
0,0.060746,0,0.2,0.1472,0.2038,0.2604,0.0868,0.1019,0,1,0
0,0.065796,0,0.181,0.2849,0.3353,0.1988,0,0,0,0,1
0.026316,0.177801,0.053218,0.19,0.1906,0.2474,0.216,0.1404,0.0157,1,1,0
0.105263,0.03271,0.053072,0.1612,0.0053,0.0053,0.0053,0.0053,0.8177,1,1,0
0.078947,0.124919,0.033853,0.1062,0.0302,0.0302,0.0307,0.0307,0.772,1,1,0
0,0.120698,0,0.9804,0.0036,0.0036,0.0036,0.0036,0.0053,0,1,0
0,0.005988,0,0.375,0.125,0.0938,0.0938,0.0938,0.2188,0,1,0
0,0.458481,0,0.1459,0.3583,0.3339,0.1004,0.046,0.0155,0,1,0
0.026316,0.081704,0.013031,0.0268,0.0018,0.0304,0.0447,0.288,0.6082,1,1,0
0.026316,0.012265,0.010847,0.8319,0.0531,0.0531,0.0531,0.0088,0,1,1,0
0,0.103023,0,0.5306,0.2347,0.1395,0.0952,0,0,0,1,0
0.105263,0.059072,0.08809,0.2055,0.0153,0.0153,0.1808,0.0073,0.5759,1,1,0
0,0.250487,0,0.3028,0.0112,0.0112,0.0112,0.0112,0.6523,0,1,0
0.052632,0.008393,0.039495,0.384,0.112,0.112,0.112,0.104,0.176,1,1,0
0.026316,0.024421,0.194161,0.3991,0.1535,0.2368,0.1798,0.0263,0.0044,1,1,0
0,0.078133,0,0.1845,0.0685,0.0714,0.0685,0.0685,0.5387,0,1,0
0.052632,0.029339,0.070763,0.5073,0.022,0.022,0.4488,0,0,1,1,0
0.052632,0.059784,0.098027,0.1065,0.11,0.11,0.1388,0.3098,0.2249,1,1,0
0,0.000866,0,0.8571,0.1429,0,0,0,0,0,1,0
0,0.015295,0,0.0649,0.0649,0.0649,0.0649,0.0779,0.6623,0,1,0
0,0.040473,0,0.0263,0.1105,0.5474,0.3158,0,0,0,0,1
0.026316,0.053135,0.014997,0.0347,0.0347,0.039,0.0325,0.0412,0.8178,1,1,0
0,0.027992,0,0.0364,0,0,0,0,0.9636,0,0,1
0.026316,0.098045,0.011867,0.4753,0.009,0.5157,0,0,0,1,0,1
0,0.084482,0,0.8449,0.1551,0,0,0,0,0,1,0
0,0.099343,0,0.5423,0.284,0.169,0.0047,0,0,0,1,0
0,0.001443,0,0.5714,0.4286,0,0,0,0,0,1,0
0,0.015367,0,0.1429,0.0519,0.0649,0.039,0.039,0.6623,0,1,0
0,0.512373,0,0.8892,0.0634,0.0334,0.009,0.003,0.002,0,1,0
0.052632,0.06493,0.057877,0.9982,0.0018,0,0,0,0,1,1,0
0,0.098983,0,0.3436,0.3341,0.109,0.2133,0,0,0,1,0
0,0.295794,0,0.9898,0.0015,0.0015,0.0073,0,0,0,1,0
0,0.322343,0,0.4828,0.1092,0.1427,0.0772,0.085,0.103,0,1,0
0,0.003968,0,0,0,0.4091,0.0909,0.0455,0.4545,0,0,1
0,0.006782,0,0.0857,0.0286,0.0571,0.8286,0,0,0,1,0
0,0.000433,0,0.5,0.5,0,0,0,0,0,1,0
0.026316,0.198362,0.027883,0.1145,0.0877,0.1693,0.4197,0.0784,0.1304,1,1,0
0.026316,0.006421,0.200641,0.9545,0.0455,0,0,0,0,1,1,0
0,0.001443,0,0.625,0.375,0,0,0,0,0,1,0
0,0.009595,0,0.0526,0.0526,0.0175,0.2982,0.4912,0.0877,0,0,1
0,0.10057,0,0.3411,0.1379,0.3692,0.1519,0,0,0,0,1
0,0.003896,0,0.25,0.25,0.2,0.1,0.1,0.1,0,1,0
0,0.023375,0,0.1441,0.0811,0.0721,0.0721,0.0721,0.5586,0,1,0
0.026316,0.004762,0.169118,0.9714,0.0286,0,0,0,0,1,1,0
0.078947,0.007467,0.088963,0.0292,0,0.073,0.0292,0.5547,0.3139,1,1,0
0.026316,0.00588,0.075932,0.1754,0.1404,0.1404,0.1404,0.1754,0.2281,1,1,0
0,0.049924,0,0.0308,0,0,0,0.022,0.9471,0,0,1
0,0.022221,0,0.9333,0.019,0.019,0.019,0.0095,0,0,1,0
0,0.506601,0,0.9225,0.0668,0.0101,6e-04,0,0,0,1,0
0,0.010533,0,0.3929,0.2857,0.1071,0.1071,0.0714,0.0357,0,1,0
0,0.005122,0,0.8182,0,0,0,0,0.1818,0,0,1
0.052632,0.049876,0.025153,0.0147,0.0133,0.0736,0.0943,0.0854,0.7187,1,0,1
0,0.019551,0,0.0625,0.2292,0.25,0.2188,0.1042,0.1354,0,0,1
0,0.046173,0,0.94,0.05,0.01,0,0,0,0,1,0
0.052632,0.145757,0.010847,0.0324,0.0276,0.0553,0.0473,0.1478,0.6895,1,1,0
0,0.001082,0,0,0.25,0,0.25,0,0.5,0,0,1
0,0.399178,0,0.1057,0.019,0.0184,0.8569,0,0,0,1,0
0,0.000794,0,0.1429,0.1429,0.1429,0.5714,0,0,0,1,0
0,0.015511,0,0.35,0.1,0.0875,0.0875,0.1,0.275,0,1,0
0.026316,0.250162,0.011721,0.0048,0.0039,0.0039,0.9875,0,0,1,1,0
0.026316,0.182527,0.013177,0.2939,0.0036,0.0042,0.0036,0.0036,0.6913,1,1,0
0,0.000216,0,0.25,0.25,0.25,0.25,0,0,0,1,0
0,0.293774,0,0.7744,0.0823,0.045,0.0335,0.0366,0.0282,0,1,0
0,0.000649,0,1,0,0,0,0,0,0,0,1
0.026316,0.004798,0.099156,0.1633,0.102,0.3673,0.1224,0.1429,0.102,1,1,0
0,0.150999,0,0.6057,0.0129,0.0114,0.0114,0.0114,0.3471,0,1,0
0.157895,0.023808,0.040672,0.9174,0.0793,0.0017,0.0017,0,0,1,0,1
0,0.00101,0,0.4444,0.1111,0.1111,0.1111,0.2222,0,0,1,0
0,0.0259,0,0.6613,0.0403,0.0403,0.0323,0.0323,0.1935,0,1,0
0,0.131664,0,0.0081,0.0065,0.0081,0.0081,0.0065,0.9628,0,1,0
0,0.000289,0,0.1667,0,0.5,0,0.3333,0,0,0,1
0,0.59065,0,0.0413,0.1769,0.0899,0.1622,0.2344,0.2952,0,1,0
0,0.225813,0,0.5418,0.4582,0,0,0,0,0,1,0
0,0.05685,0,0,0,0.9924,0,0,0.0076,0,0,1
0.052632,0.020128,0.075531,1,0,0,0,0,0,1,1,0
0,0.014645,0,0.125,0.2222,0.1389,0.1111,0.0972,0.3056,0,1,0
0,0.028858,0,0.6864,0.2458,0.0678,0,0,0,0,1,0
0.052632,0.148186,0.021149,0.0874,0.0534,0.0437,0.0468,0.0361,0.7326,1,1,0
0.026316,0.006457,0.474301,1,0,0,0,0,0,1,1,0
0.052632,0.046702,0.039386,0.0303,0.0273,0.0333,0.9091,0,0,1,1,0
0,0.004257,0,0.5417,0.0417,0.0417,0.0417,0.0417,0.2917,0,1,0
0,0.029507,0,0.4897,0.5103,0,0,0,0,0,0,1
0,0.115215,0,0.0055,0,0,0.0037,0,0.9908,0,0,1
0.026316,0.099271,0.020676,0.05,0.0284,0.042,0.0261,0.0352,0.8182,1,1,0
0.052632,0.027656,0.090419,0.3224,0.0202,0.0202,0.0202,0.0202,0.597,1,1,0
0.026316,0.005699,0.060716,0.5789,0.1053,0.0877,0.0702,0.0526,0.1053,1,1,0
0,0.033475,0,0.0127,0.0127,0.0127,0.962,0,0,0,1,0
0.210526,0.008064,0.05754,0.5338,0.0752,0.0564,0.0414,0.1053,0.188,1,1,0
0.052632,0.023712,0.187973,0.0244,0.0136,0,0.0244,0.0081,0.9295,1,0,1
0.052632,0.043119,0.042261,0.178,0.3677,0.2795,0.0549,0.0815,0.0383,1,0,1
0,0.228555,0,0.0047,0.0047,0.0047,0.0047,0.0047,0.9765,0,1,0
0,0.001371,0,0.2,0.1,0.1,0.1,0.4,0.1,0,1,0
0,0.004473,0,0.2308,0,0.6154,0.1538,0,0,0,0,1
0,0.005555,0,0.05,0.05,0.05,0.05,0,0.8,0,0,1
0,0.004401,0,0.1563,0,0.1563,0.6875,0,0,0,0,1
0,0.00606,0,0.8077,0.1154,0.0769,0,0,0,0,1,0
0,0.001371,0,0.1818,0,0,0,0,0.8182,0,0,1
0,0.24724,0,0.908,0.007,0.007,0.0079,0.007,0.0631,0,1,0
0,0.001515,0,0.1,0.1,0.1,0.7,0,0,0,1,0
0.026316,0.158466,0.020239,0.4681,0.3208,0.1951,0.0146,0.0014,0,1,1,0
0,0.00505,0,0.1053,0,0.0526,0.3684,0.2632,0.2105,0,1,0
0,0.096169,0,0.0448,0.0448,0.0426,0.8677,0,0,0,1,0
0,0.020561,0,0.125,0.0682,0.0568,0.0682,0.0455,0.6364,0,1,0
0,0.037299,0,0.1307,0.1023,0.2159,0.2784,0.25,0.0227,0,1,0
0.052632,0.027102,0.118666,0.5546,0.1572,0.2009,0.0873,0,0,1,1,0
0.026316,0.019371,0.036109,0.0222,0.0056,0.0111,0.0278,0.1667,0.7667,1,0,1
0.026316,0.288796,0.010483,0.6972,0.1601,0.1416,5e-04,5e-04,0,1,1,0
0,0.018325,0,0.7627,0.1525,0.0847,0,0,0,0,0,1
0.026316,0.112835,0.40281,0.0725,0.0677,0.0658,0.3675,0.0774,0.3491,1,1,0
0,0.006926,0,0.1714,0.2,0.0857,0.1143,0.4286,0,0,1,0
0.026316,0.003932,0.149898,0.0851,0.0851,0.0851,0.0851,0.0851,0.5745,1,1,0
0.052632,0.047375,0.082739,0.045,0.042,0.0435,0.0435,0.042,0.7841,1,1,0
0.026316,0.099416,0.153611,1,0,0,0,0,0,1,1,0
0,0.006349,0,0.32,0.68,0,0,0,0,0,1,0
0,0.002886,0,0,0,1,0,0,0,0,0,1
0,0.176899,0,0,1,0,0,0,0,0,1,0
0,0.004329,0,0.1304,0.1304,0.1304,0.1304,0.087,0.3913,0,1,0
0,0.162326,0,0.0519,0.1531,0.5646,0.2304,0,0,0,0,1
0.026316,0.090361,0.018055,0.2833,0.1462,0.1252,0.4453,0,0,1,1,0
0,0.237645,0,0.7814,0.1086,0.0668,0.0432,0,0,0,1,0
0.078947,0.040257,0.085008,0.4949,0.1254,0.0797,0.0627,0.0424,0.1949,1,1,0
0.131579,0.044561,0.045312,0.2544,0.0152,0.0144,0.0144,0.0144,0.6874,1,1,0
0,0.001371,0,0.1,0.1,0.1,0.1,0.1,0.5,0,1,0
0,0.017243,0,1,0,0,0,0,0,0,1,0
0,0.006493,0,0.3636,0.1212,0.1212,0.0909,0.1515,0.1515,0,1,0
0.078947,0.021319,0.025335,0.4303,0.2065,0.1269,0.1219,0.1144,0,1,1,0
0,0.004184,0,0,0.8667,0.1333,0,0,0,0,0,1
0.026316,0.246988,0.010338,0.1067,0.0979,0.2895,0.506,0,0,1,0,1
0,0.3727,0,0.6486,0.2484,0.0861,0.0169,0,0,0,1,0
0,0.009379,0,0,0,0.25,0,0.75,0,0,1,0
0,0.04675,0,0.3917,0.235,0.2442,0.0461,0.0599,0.023,0,1,0
0.052632,0.065435,0.083066,0.0153,0.0153,0.0153,0.0153,0.0153,0.9236,1,1,0
0.052632,0.115456,0.019147,0.5525,0.175,0.1227,0.085,0.0554,0.0094,1,1,0
0,0.059736,0,0.4154,0.0441,0.0551,0.4853,0,0,0,1,0
0,0.198182,0,0.3095,0.0303,0.0303,0.0314,0.0368,0.5617,0,1,0
0,0.006349,0,0.1212,0.7879,0.0909,0,0,0,0,1,0
0.026316,0.043323,0.107528,0.8746,0.1254,0,0,0,0,1,1,0
0,0.009523,0,0.6047,0.2558,0.1395,0,0,0,0,1,0
0.026316,0.023447,0.168681,0.5287,0.127,0.1148,0.1311,0.0984,0,1,1,0
0,0.517856,0,9e-04,0.045,0.1,0.0939,0.2463,0.5139,0,1,0
0,0.015367,0,0.7042,0.0845,0.0563,0.1549,0,0,0,1,0
0,0.007936,0,0,0.0238,0.119,0.0952,0.1429,0.619,0,0,1
0,0.094726,0,0.0066,0.9668,0.0265,0,0,0,0,0,1
0,0.063487,0,0.9521,0.0068,0.0103,0.0171,0.0103,0.0034,0,1,0
0.052632,0.025804,0.187209,0.0957,0.0984,0.0957,0.0984,0.1011,0.5106,1,1,0
0,0.067528,0,0.121,0.1178,0.1115,0.1975,0.4522,0,0,1,0
0,0.003319,0,0.0588,0,0.0588,0,0.0588,0.8235,0,1,0
0,0.004762,0,0.24,0.76,0,0,0,0,0,1,0
0.105263,0.024472,0.080082,0.1719,0.2825,0.4723,0.0732,0,0,1,0,1
0,0.004329,0,0.087,0.087,0.087,0.7391,0,0,0,1,0
0,0.208571,0,0.0172,0.0172,0.0172,0.0172,0.0172,0.9142,0,1,0
0.052632,0.074646,0.023551,0.0168,0.0795,0.0748,0.0094,0.0103,0.8092,1,0,1
0,0.001299,0,0.2,0.1,0.2,0.2,0.2,0.1,0,1,0
0,0.212539,0,0.7589,0.0031,0.0031,0.235,0,0,0,1,0
0.026316,0.009992,0.264924,0.4474,0.1053,0.2105,0.0526,0.1053,0.0789,1,1,0
0,0.045668,0,0.2368,0.0368,0.0368,0.0421,0.0368,0.6105,0,1,0
0,0.053243,0,0.0711,0.0711,0.0664,0.0616,0.0664,0.6635,0,1,0
0.052632,0.187312,0.008991,0.0183,0.0187,0.0183,0.0179,0.0167,0.91,1,1,0
0.026316,0.051079,0.019948,0.131,0.0561,0.052,0.0561,0.0624,0.6424,1,1,0
0,0.099271,0,0.0022,0.0022,0.0022,0.0022,0.0022,0.9892,0,1,0
0.026316,0.048085,0.009246,0.7617,0.1448,0.069,0.0245,0,0,1,1,0
0.052632,0.004184,0.019402,0,0.1356,0.1864,0.1695,0.1525,0.3559,1,0,1
0,0.000866,0,0.3333,0.1667,0.1667,0.1667,0.1667,0,0,1,0
0,0.003535,0,0.0833,0.0833,0.0833,0.0833,0.0833,0.5833,0,1,0
0.026316,0.070522,0.078626,0.0206,0.0059,0.0221,0.0295,0.1016,0.8203,1,0,1
0,0.177981,0,0.7977,0.0862,0.0929,0.0232,0,0,0,1,0
0,0.021788,0,0.0333,0,0.9667,0,0,0,0,0,1
0,0.001948,0,0.0833,0.0833,0.0833,0.0833,0.0833,0.5833,0,1,0
0.026316,0.065291,0.176543,0.2892,0.0114,0.0098,0.0098,0.0098,0.6699,1,1,0
0,0.013996,0,0.0244,0.0244,0.0122,0.4756,0.4634,0,0,0,1
0,0.003463,0,1,0,0,0,0,0,0,0,1
0.026316,0.03766,0.236823,0.4306,0.0142,0.0142,0.0142,0.0142,0.5127,1,1,0
0,0.530193,0,0.0213,0.0143,0.0147,0.0147,0.2894,0.6455,0,1,0
0,0.032104,0,0.2053,0.1987,0.2715,0.245,0.0662,0.0132,0,1,0
0.052632,0.084842,0.010119,0.006,0.0043,0.0043,0.0043,0.0034,0.9778,1,1,0
0.026316,0.160306,0.01092,0.2568,0.3005,0.1382,0.1155,0.1038,0.0851,1,1,0
0,0.199697,0,0.0068,0.0383,0.0586,0.168,0.2379,0.4904,0,1,0
0,0.142053,0,0.0519,0.0397,0.0366,0.0397,0.0366,0.7954,0,1,0
0.026316,0.044333,0.011211,0.1312,0.1244,0.1267,0.1244,0.1222,0.371,1,1,0
0,0.011038,0,0.0649,0.0519,0.039,0.8442,0,0,0,1,0
0.052632,0.033475,0.040987,0.0215,0.0215,0.0215,0.0215,0.0193,0.8948,1,1,0
0.052632,0.009114,0.188883,0.0719,0.036,0.0647,0.036,0.036,0.7554,1,1,0
0,0.000433,0,0.4,0.2,0.2,0.2,0,0,0,1,0
0,0.031239,0,0.0274,0.0274,0.0274,0.0274,0.0274,0.863,0,1,0
0.026316,0.113953,0.067341,0.1586,0.0148,0.0148,0.8118,0,0,1,1,0
0,0.003896,0,0.25,0.25,0.2917,0.125,0.0417,0.0417,0,1,0
0.026316,0.121997,0.031596,0.5338,0.0243,0.0216,0.0234,0.0207,0.376,1,1,0
0,0.130149,0,0.005,0.005,0.005,0.005,0.005,0.9751,0,1,0
0,0.205757,0,0.0084,0,0,0.9916,0,0,0,0,1
0,0.257341,0,0.8104,0.098,0.0394,0.0319,0.0192,0.0011,0,1,0
0.052632,0.021788,0.020858,0.7604,0.0415,0.0351,0.1629,0,0,1,1,0
0,0.002236,0,0.3846,0.0769,0.0769,0.0769,0.0769,0.3077,0,1,0
0,0.394127,0,1,0,0,0,0,0,0,1,0
0.026316,0.246519,0.08627,0.0031,0.0026,0.0022,0.0018,0.0035,0.9868,1,0,1
0.026316,0.090903,0.008955,0.1874,0.066,0.1235,0.0905,0.1097,0.4228,1,0,1
0,0.004184,0,0.4348,0.2609,0.2174,0.087,0,0,0,1,0
0.052632,0.010726,0.026645,0.0084,0,0.0168,0.0588,0.1849,0.7311,1,0,1
0.026316,0.028822,0.021549,0,0,0,0,0,1,1,1,0
0.026316,0.060746,0.056057,0.7547,0.2103,0.035,0,0,0,1,1,0
0,0.016305,0,0.0385,0.0256,0.1538,0.0256,0.0641,0.6923,0,1,0
0.026316,0.016629,0.138104,0.6509,0.0566,0.0283,0.2642,0,0,1,1,0
0,0.018397,0,0.4923,0.3385,0.1692,0,0,0,0,1,0
0.078947,0.052125,0.067099,0.0065,0,0.0075,0,0.1023,0.8837,1,1,0
0,0.133252,0,0.2231,0.0225,0.0225,0.0225,0.0225,0.687,0,1,0
0,0.073155,0,0.1047,0.0494,0.0494,0.0465,0.0436,0.7064,0,1,0
0,0.003319,0,0.0286,0.0286,0.0286,0.0286,0.8857,0,0,1,0
0.052632,0.08287,0.107892,0.4661,0.0183,0.0183,0.0183,0.0183,0.4609,1,1,0
0.026316,0.013635,0.498981,0.097,0.0746,0.0746,0.0821,0.0672,0.6045,1,1,0
0.026316,0.055047,0.045574,0.0705,0.0533,0.0495,0.0514,0.061,0.7143,1,1,0
0,0.000577,0,1,0,0,0,0,0,0,1,0
0,0.026333,0,0.024,0.008,0.008,0.96,0,0,0,1,0
